OS;Producer;RAM;CPU cores;Diagonal;Width;Height
Android 11;Blackview;8;8;6,36;68,66;146,23
Android 11;POCO;8;8;6,6;68,79;152,87
Android 11;TCL;4;8;6,52;67,96;151,02
Android 11;Alcatel;4;8;6,52;67,96;151,02
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 11;Samsung;4;8;6,4;66,71;148,24
Android 10,0;Huawei;6;8;6,67;70,11;154,23
Android 11;Xiaomi;4;8;6,5;67,75;150,56
Android 11;Oppo;8;8;6,5;67,75;150,56
Android 11;POCO;6;8;6,67;69,52;154,5
Android 11;OnePlus;6;8;6,43;67,02;148,94
Android 11;Samsung;4;8;6,4;68,12;147,6
Android 11;Realme;8;8;6,43;67,02;148,94
Android 11;Realme;8;8;6,55;68,27;151,72
Android 11;ZTE;2;8;5,45;61,91;123,82
Android 11;ZTE;3;8;6,52;67,96;151,02
Android 11;ZTE;2;8;6,52;67,93;150,95
Android 11;ZTE;2;8;6,09;64,8;140,4
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;Vivo;12;8;6,44;67,13;149,17
Android 11;ZTE;3;8;6,82;69,64;158,62
Android 11;ZTE;4;8;6,67;69,52;154,5
Android 11;Oppo;8;8;6,4;66,71;148,24
Android 11;Doogee;6;8;6,52;67,26;151,33
Android 11;Xiaomi;4;8;6,43;67,02;148,94
Android 11;Vivo;6;8;6,58;68,4;152,5
Android 11;Honor;6;8;6,6;68,79;152,87
Android 11;TCL;4;8;6,67;69,52;154,5
Android 11;Tecno;8;8;6,7;71,32;154,52
Android 11;Oukitel;4;8;5,5;62,48;124,95
Android 10,0;Oukitel;4;8;6,39;68,02;147,37
Android 11;Lenovo;4;8;6,5;67,75;150,56
Android 11;Samsung;4;8;6,4;66,71;148,24
Android 11;Doogee;8;8;6,39;68,02;147,37
Android 11;Honor;8;8;6,78;70,96;156,91
Android 11;Honor;8;8;6,72;71,57;154,96
Android 11;Honor;8;8;6,57;69,93;151,52
Android 11;OnePlus;4;8;6,49;67,65;150,33
Android 11;Realme;8;8;6,43;67,02;148,94
Android 11;OnePlus;6;8;6,43;67,02;148,94
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 11;Vivo;4;8;6,51;67,86;150,79
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Tecno;6;8;6,9;71,92;159,82
Android 11;UMIDIGI;3;8;6,53;68,06;151,25
Android 10,0;Vivo;6;8;6,53;69,51;150,6
Android 11;Samsung;4;8;6,6;68,79;152,87
Android 11;Samsung;4;8;6,4;66,71;148,24
Android 11;Samsung;6;8;6,5;67,75;150,56
Android 10,0;Doogee;8;8;6,09;64,82;140,45
Android 11;UMIDIGI;8;8;6,3;67,06;145,29
Android 11;UMIDIGI;3;8;6,53;68,06;151,25
Android 11;Realme;6;8;6,43;67,02;148,94
Android 11;Coolpad;4;8;6,52;67,93;150,95
Android 11;Ulefone;8;8;6,09;64,8;140,4
Android 11;nubia;6;8;6,67;69,52;154,5
Android 11;nubia;12;8;6,8;70,88;157,51
Android 11;nubia;8;8;6,8;70,88;157,51
Android 11;Oppo;8;8;6,55;68,27;151,72
Android 11;Oppo;8;8;6,55;68,27;151,72
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Wiko;4;8;6,82;69,64;158,62
Android 11;Wiko;2;8;6,82;69,64;158,62
Android 11;Wiko;3;8;6,82;69,64;158,62
Android 11;Realme;8;8;6,43;67,02;148,94
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Xiaomi;4;8;6,3;67,06;145,29
Android 10,0;Oukitel;6;8;5,86;63,72;134,52
Android 11;Oppo;6;8;6,5;67,75;150,56
Android 11;Vivo;8;8;6,57;68,29;152,26
Android 11;Vivo;8;8;6,56;68,95;151,69
Android 11;nubia;8;8;6,67;69,52;154,5
Android 11;Sony;4;8;5,5;57,33;127,4
Android 11;Sharp;12;8;6,6;70,25;152,21
Android 11;POCO;4;8;6,5;67,75;150,56
Android 11;Cubot;4;8;6,09;64,8;140,4
Android 11;Samsung;8;8;6,6;68,6;152,96
Android 10,0;Honor;6;8;6,52;67,93;150,95
Android 10,0;Honor;8;8;6,53;68,06;151,25
Android 11;Oppo;16;8;6,7;69,55;155,32
Android 11;Realme;6;8;6,5;67,75;150,56
Android 11;Xiaomi;4;8;6,5;67,75;150,56
Android 11;Tecno;4;8;6,6;68,79;152,87
Android 11;Tecno;6;8;6,8;69,43;158,15
Android 11;Tecno;8;8;6,8;69,43;158,15
Android 11;Infinix;4;8;6,95;70,96;161,64
Android 11;Infinix;6;8;6,95;70,96;161,64
Android 11;Xiaomi;6;8;6,43;67,02;148,94
Android 11;Vivo;8;8;6,62;69,0;153,34
Android 11;Asus;6;8;5,9;60,49;137,11
Android 11;Blackview;4;8;6,39;68,02;147,37
Android 11;Asus;8;8;6,67;68,38;155,0
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 10,0;Oukitel;3;4;6,52;67,96;151,02
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 10,0;Oppo;4;8;6,51;67,86;150,79
Android 9,0 Pie;ZTE;4;8;6,52;67,96;151,02
Android 11;Tecno;4;8;6,6;68,79;152,87
Android 11;Samsung;8;8;6,6;68,79;152,87
Android 11;Vivo;8;8;6,44;67,03;149,21
Android 11;Vivo;8;8;6,44;67,03;149,21
Android 11;Vivo;8;8;6,44;67,03;149,21
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 10,0;Honor;4;8;6,52;67,93;150,95
Android 10,0;Oppo;4;8;6,5;67,75;150,56
Android 11;Infinix;4;8;6,82;69,64;158,62
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Infinix;6;8;6,82;69,64;158,62
Android 11;Infinix;6;8;6,82;69,64;158,62
Android 11;Realme;8;8;6,43;67,02;148,94
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Realme;6;8;6,5;67,75;150,56
Android 11;Realme;4;8;6,5;67,75;150,56
Android 10,0;POCO;4;8;6,5;69,19;149,9
Android 10,0;Honor;6;8;6,6;68,79;152,87
Android 10,0;Infinix;4;8;6,82;69,64;158,62
Android 11;Motorola;4;8;6,78;69,23;157,68
Android 11;Motorola;6;8;6,78;69,23;157,68
Android 11;Ulefone;8;8;6,09;64,8;140,4
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Doogee;4;8;6,52;67,96;151,02
Android 10,0;Doogee;4;4;6,52;69,4;150,37
Android 10,0;Doogee;4;8;5,71;62,09;131,07
Android 10,0;Blackview;4;8;6,22;67,6;142,71
Android 10,0;UMIDIGI;8;8;6,67;69,52;154,5
Android 10,0;Oppo;4;8;6,52;67,96;151,02
Android 11;Tecno;2;8;6,5;67,75;150,56
Android 11;Tecno;4;8;6,8;69,43;158,15
Android 10,0;Motorola;2;8;6,5;67,75;150,56
Android 11;ZTE;6;8;6,67;69,52;154,5
Android 11;ZTE;8;8;6,67;69,52;154,5
Android 11;TCL;6;8;6,67;69,52;154,5
Android 11;TCL;6;8;6,67;69,52;154,5
Android 11;TCL;4;8;6,67;69,52;154,5
Android 11;TCL;4;8;6,82;69,64;158,62
Android 11;TCL;6;8;6,67;69,52;154,5
Android 11;Sony;6;8;6,0;60,03;140,08
Android 11;Sony;8;8;6,1;61,03;142,41
Android 11;Sony;12;8;6,5;64,98;151,78
Android 11;Lenovo;8;8;6,92;70,66;160,94
Android 11;Nokia;4;8;6,67;69,52;154,5
Android 11;Nokia;4;8;6,67;69,52;154,5
Android 11;Nokia;4;8;6,52;67,93;150,95
Android 11;Nokia;3;8;6,52;67,93;150,95
Android 11;Nokia;1;4;6,52;67,93;150,95
Android 11;Nokia;1;4;6,52;67,93;150,95
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Oppo;6;8;6,43;67,02;148,94
Android 11;Oppo;6;8;6,43;67,02;148,94
Android 11;Vivo;8;8;6,56;68,95;151,69
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 10,0;Samsung;3;8;6,5;67,75;150,56
Android 11;Samsung;4;8;6,5;67,75;150,56
Android 9,0 Pie;Gionee;6;8;6,53;68,06;151,25
Android 11;Realme;8;8;6,55;68,27;151,72
Android 11;ZTE;8;8;6,67;69,52;154,5
Android 11;ZTE;8;8;6,67;69,52;154,5
Android 11;Realme;8;8;6,5;67,75;150,56
Android 11;Oppo;6;8;6,43;67,02;148,94
Android 11;ZTE;8;8;6,67;69,52;154,5
Android 11;Realme;6;8;6,43;67,02;148,94
Android 11;Xiaomi;8;8;8,01;122,07;162,76
Android 11;Xiaomi;8;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,55;68,27;151,72
Android 11;Xiaomi;6;8;6,55;68,27;151,72
Android 11;Xiaomi;8;8;6,81;70,98;157,74
Android 11;Xiaomi;8;8;6,81;70,98;157,74
Android 11;Motorola;4;8;6,5;67,75;150,56
Android 11;Motorola;6;8;6,7;67,04;156,42
Android 10,0;Oukitel;4;8;6,5;66,18;151,26
Android 11;Realme;6;8;6,4;66,71;148,24
Android 11;Realme;4;8;6,4;66,71;148,24
Android 10,0;Vivo;8;8;6,58;68,4;152,5
Android 11;OnePlus;8;8;6,77;70,27;156,94
Android 11;OnePlus;8;8;6,55;68,27;151,72
Android 11;OnePlus;8;8;6,55;68,27;151,72
Android 10,0;Honor;8;8;6,57;69,93;151,52
Android 11;Vivo;12;8;6,56;68,95;151,69
Android 11;Vivo;12;8;6,56;68,95;151,69
Android 11;Xiaomi;8;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;POCO;6;8;6,67;69,52;154,5
Android 11;POCO;6;8;6,67;69,52;154,5
Android 11;Vivo;4;8;6,58;68,59;152,41
Android 11;Samsung;6;8;6,7;69,84;155,19
Android 11;Samsung;4;8;6,5;67,75;150,56
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Vivo;8;8;6,62;69,0;153,34
Android 10,0;Kyocera;6;8;5,45;61,91;123,82
Android 10,0;HTC;3;8;6,5;69,19;149,9
Android 11;Vivo;8;8;6,51;67,86;150,79
Android 11;Oppo;8;8;6,4;66,71;148,24
Android 11;Oppo;12;8;6,55;68,27;151,72
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Oppo;8;8;6,7;69,55;155,32
Android 11;Oppo;8;8;6,7;69,55;155,32
Android 11;Asus;18;8;6,78;72,17;156,36
Android 11;Asus;16;8;6,78;72,17;156,36
Android 11;Asus;8;8;6,78;72,17;156,36
Android 10,0;Huawei;8;8;6,5;68,32;150,3
Android 11;Xiaomi;8;8;6,67;71,0;153,82
Android 10,0;Gionee;3;8;6,52;69,4;150,37
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Vivo;6;8;6,51;67,86;150,79
Android 11;Samsung;4;8;5,3;55,24;122,76
Android 11;Xiaomi;4;8;6,43;67,02;148,94
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 10,0;Realme;8;8;6,43;67,02;148,94
Android 10,0;Meizu;8;8;6,7;69,84;155,19
Android 10,0;Meizu;8;8;6,2;64,62;143,61
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 10,0;LG;4;8;6,55;81,56;145,0
Android 10,0;LG;6;8;6,55;81,56;145,0
Android 10,0;LG;4;8;6,55;68,27;151,72
Android 10,0;Huawei;8;8;6,1;64,93;140,68
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 11;Oukitel;4;4;5,5;62,48;124,95
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Samsung;4;8;6,4;66,71;148,24
Android 11;Xiaomi;12;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Realme;3;8;6,5;67,75;150,56
Android 11;Realme;6;8;6,52;67,96;151,02
Android 11;Samsung;6;8;6,7;69,84;155,19
Android 11;BLU;4;8;6,5;67,75;150,56
Android 10,0;Huawei;8;8;6,45;64,67;150,53
Android 10,0;Motorola;4;8;6,51;67,86;150,79
Android 11;Motorola;4;8;6,5;67,75;150,56
Android 11;Motorola;4;8;6,5;67,75;150,56
Android 11;Samsung;6;8;6,7;69,84;155,19
Android 10,0;Fujitsu;8;8;6,7;71,32;154,52
Android 10,0;Fujitsu;8;8;6,3;68,5;144,62
Android 10,0;Tecno;4;8;6,6;68,79;152,87
Android 10,0;Tecno;6;8;6,8;69,43;158,15
Android 10,0;Blackview;4;8;5,7;64,75;129,5
Android 11;Samsung;3;8;6,5;67,75;150,56
Android 11;Realme;4;8;6,5;67,75;150,56
Android 11;Nokia;1;4;6,52;67,96;151,02
Android 10,0;Realme;4;8;6,5;67,75;150,56
Android 10,0;Oppo;8;8;6,4;66,71;148,24
Android 10,0;Samsung;2;4;6,5;67,75;150,56
Android 10,0;Realme;4;8;6,52;67,96;151,02
Android 10,0;Cubot;8;8;6,5;67,75;150,56
Android 10,0;Cubot;8;8;6,4;68,85;147,26
Android 10,0;Cubot;4;8;6,18;68,02;141,47
Android 10,0;Vivo;8;8;6,44;67,13;149,17
Android 10,0;Samsung;2;4;6,5;70,68;149,21
Android 10,0;Motorola;6;8;6,7;67,04;156,42
Android 10,0;ZTE;6;8;6,5;69,19;149,9
Android 10,0;Motorola;3;8;6,5;67,75;150,56
Android 10,0;Realme;2;8;6,5;67,75;150,56
Android 11;Oppo;6;8;6,5;67,75;150,56
Android 10,0;Huawei;8;6;6,5;67,75;150,56
Android 10,0;Honor;8;8;6,72;71,57;154,96
Android 10,0;Motorola;4;8;6,7;69,84;155,19
Android 10,0;Infinix;2;8;6,82;69,64;158,62
Android 11;Vivo;6;8;6,58;68,4;152,5
Android 10,0;HTC;8;8;6,7;69,84;155,19
Android 10,0;Doogee;4;8;5,71;62,09;131,07
Android 10,0;Doogee;8;8;6,3;67,06;145,29
Android 10,0;Vivo;6;8;6,51;67,86;150,79
Android 10,0;Samsung;4;8;6,5;67,75;150,56
Android 11;Oppo;8;8;6,5;67,75;150,56
Android 11;Samsung;12;8;6,8;70,88;157,51
Android 11;Samsung;12;8;6,8;70,88;157,51
Android 11;Samsung;8;8;6,7;69,84;155,19
Android 11;Samsung;8;8;6,2;64,62;143,61
Android 11;Huawei;8;8;6,72;71,57;154,96
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 11;Vivo;8;8;6,62;69,0;153,34
Android 10,0;Coolpad;4;8;6,53;69,51;150,6
Android 11;Ulefone;8;8;6,55;68,27;151,72
Android 11;Vivo;6;8;6,58;68,4;152,5
Android 11;Blackview;3;8;6,52;67,93;150,95
Android 10,0;Samsung;3;8;6,5;67,75;150,56
Android 10,0;Xiaomi;4;8;6,53;69,51;150,6
Android 10,0;Xiaomi;4;8;6,53;69,51;150,6
Android 11;Realme;6;8;6,4;66,71;148,24
Android 10,0;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Vivo;12;8;6,56;68,95;151,69
Android 11;Vivo;8;8;6,56;68,95;151,69
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 11;Xiaomi;8;8;6,81;72,49;157,05
Android 10,0;Huawei;4;8;6,67;69,52;154,5
Android 11;Huawei;8;8;6,72;71,57;154,96
Android 11;Huawei;8;8;6,57;69,93;151,52
Android 10,0;Oppo;4;8;6,52;67,96;151,02
Android 11;Nokia;4;8;6,39;68,02;147,37
Android 10,0;Oppo;4;8;6,5;67,75;150,56
Android 11;UMIDIGI;3;8;6,53;68,06;151,25
Android 10,0;Xiaomi;4;8;6,53;69,51;150,6
Android 10,0;Nokia;1;4;5,45;61,91;123,82
Android 10,0;Vivo;6;8;6,51;67,86;150,79
Android 10,0;Blackview;4;8;6,49;69,08;149,67
Android 10,0;Lenovo;4;8;6,8;69,43;158,15
Android 10,0;Lenovo;4;8;6,5;67,75;150,56
Android 10,0;Vivo;6;8;6,58;68,59;152,41
Android 9,0 Pie;AGM;8;8;6,53;69,51;150,6
Android 11;Oppo;8;8;6,55;68,27;151,72
Android 11;Oppo;8;8;6,43;67,02;148,94
Android 10,0;Vivo;8;8;6,58;70,04;151,75
Android 10,0;Tecno;6;8;6,8;69,43;158,15
Android 10,0;Blackview;4;8;5,7;64,75;129,5
Android 10,0;Cubot;2;4;6,2;67,42;142,32
Android 11;Vivo;8;8;6,58;68,4;152,5
Android 10,0;ZTE;4;8;6,52;67,96;151,02
Android 10,0;ZTE;8;8;6,47;68,87;149,21
Android 10,0;Cubot;2;4;5,5;58,43;126,9
Android 10,0;Cubot;3;4;4,0;45,44;90,87
Android 9,0 Pie;HiSense;6;8;6,52;67,93;150,95
Android 10,0;Cubot;4;4;6,2;67,42;142,32
Android 10,0;Vivo;2;8;6,22;67,63;142,78
Android 10,0;Samsung;3;8;6,5;70,68;149,21
Android 10,0;Samsung;3;8;6,5;69,19;149,9
Android 10,0;POCO;4;8;6,53;69,51;150,6
Android 10,0;Blackview;4;8;5,7;64,75;129,5
Android 10,0;Realme;6;8;6,5;67,75;150,56
Android 10,0;Vivo;3;8;6,51;67,86;150,79
Android 10,0;Ulefone;8;8;6,67;69,52;154,5
Android 10,0;Sharp;4;8;5,8;63,07;133,14
Android 11;Kyocera;3;8;6,26;68,07;143,7
Android 10,0;Kyocera;3;8;5,8;61,74;133,76
Android 10,0;BQ Mobile;3;8;6,53;68,06;151,25
Android 10,0;BQ Mobile;1;4;5,99;68,04;136,08
Android 9,0 Pie;LG;3;8;6,52;67,96;151,02
Android 11;Nokia;6;8;6,81;70,98;157,74
Android 9,0 Pie;AGM;3;4;5,7;64,75;129,5
Android 10,0;Oukitel;8;8;6,67;71,0;153,82
Android 10,0;Samsung;12;8;7,6;150,69;120,66
Android 10,0;ZTE;6;8;6,52;67,96;151,02
Android 10,0;Motorola;4;8;6,7;69,84;155,19
Android 10,0;Lenovo;4;8;6,5;67,75;150,56
Android 10,0;Motorola;4;8;6,78;69,23;157,68
Android 10,0;Huawei;8;8;6,53;68,06;151,25
Android 10,0;Huawei;8;8;6,53;68,06;151,25
Android 10,0;Doogee;4;4;5,0;56,8;113,59
Android 10,0;Huawei;4;8;6,67;69,52;154,5
Android 10,0;Vivo;8;8;6,44;67,13;149,17
Android 10,0;Oppo;6;8;6,5;67,75;150,56
Android 10,0;ZTE;2;4;5,45;61,91;123,82
Android 10,0;LG;4;8;6,6;68,79;152,87
Android 10,0;LG;6;8;6,7;69,84;155,19
Android 10,0;Gigaset;4;8;6,3;67,06;145,29
Android 10,0;Gigaset;4;8;6,1;64,93;140,68
Android 10,0;Blackview;3;8;5,7;64,75;129,5
Android 10,0;OnePlus;6;8;6,49;67,65;150,33
Android 10,0;OnePlus;6;8;6,52;67,96;151,02
Android 10,0;Huawei;8;8;6,53;72,98;148,94
Android 10,0;Huawei;12;8;6,76;74,91;154,5
Android 10,0;Huawei;12;8;6,76;74,91;154,5
Android 10,0;Huawei;8;8;6,76;74,91;154,5
Android 10,0;Huawei;8;8;6,5;68,32;150,3
Android 11;Vivo;3;8;6,51;67,86;150,79
Android 10,0;Vivo;4;8;6,51;67,86;150,79
Android 10,0;Vivo;6;8;6,53;69,51;150,6
Android 9,0 Pie;Vivo;4;8;6,35;68,17;146,18
Android 10,0;Smartisan;8;8;6,67;71,0;153,82
Android 10,0;Vivo;8;8;6,56;68,95;151,69
Android 10,0;Doogee;8;8;6,22;67,63;142,78
Android 10,0;HTC;6;8;6,5;67,75;150,56
Android 10,0;UMIDIGI;6;8;6,3;67,06;145,29
Android 10,0;UMIDIGI;4;8;6,3;67,06;145,29
Android 10,0;UMIDIGI;3;4;6,53;68,06;151,25
Android 10,0;Infinix;6;8;6,95;70,96;161,64
Android 10,0;Infinix;6;8;6,78;69,23;157,68
Android 10,0;Coolpad;4;8;6,53;69,51;150,6
Android 10,0;Huawei;8;8;6,5;67,75;150,56
Android 11;OnePlus;8;8;6,55;68,27;151,72
Android 10,0;Samsung;6;8;6,4;68,12;147,6
iOS 14;Apple;6;6;6,7;71,4;154,48
iOS 14;Apple;6;6;6,1;64,99;140,65
iOS 14;Apple;6;6;5,4;57,48;4,9
iOS 14;Apple;6;6;6,1;64,99;140,65
Android 11;Realme;4;8;6,5;67,75;150,56
Android 10,0;Realme;8;8;6,4;66,71;148,24
Android 11;Realme;4;8;6,5;67,75;150,56
Android 9,0 Pie;LG;6;8;6,4;68,12;147,6
Android 10,0;Tecno;4;8;6,9;70,45;160,48
Android 10,0;Tecno;8;8;6,9;70,45;160,48
Android 10,0;Vivo;8;8;6,44;67,13;149,17
Android 10,0;Samsung;4;8;6,6;68,79;152,87
Android 10,0;Infinix;8;8;6,85;75,02;156,99
Android 10,0;Samsung;6;8;6,4;68,12;147,6
Android 10,0;Oppo;8;8;6,5;67,75;150,56
Android 10,0;Oppo;6;8;6,44;67,13;149,17
Android 10,0;Doogee;4;8;6,5;67,75;150,56
Android 10,0;Oukitel;4;8;5,86;63,72;134,52
Android 10,0;Oukitel;4;8;6,49;69,08;149,67
Android 10,0;Doogee;4;8;5,45;61,91;123,82
Android 10,0;Huawei;4;8;6,67;69,52;154,5
Android 10,0;Oppo;8;8;6,43;67,02;148,94
Android 9,0 Pie;Coolpad;4;4;6,3;68,5;144,62
Android 10,0;Vivo;8;8;6,44;67,13;149,17
Android 10,0;Oppo;8;8;6,57;68,48;152,18
Android 10,0;Oppo;8;8;6,43;67,02;148,94
Android 10,0;Elephone;4;8;6,4;68,12;147,6
Android 10,0;Xiaomi;6;8;6,67;69,52;154,5
Android 11;Google;6;8;6,24;66,42;143,91
Android 10,0;Vivo;8;8;6,44;67,13;149,17
Android 11;Vivo;8;8;6,44;67,13;149,17
Android 10,0;LG;2;8;6,1;64,93;140,68
Android 10,0;Tecno;4;8;6,8;69,43;158,15
Android 10,0;Huawei;4;8;6,67;69,52;154,5
Android 10,0;Vsmart;6;8;6,39;66,6;148,01
Android 10,0;Vsmart;8;8;6,39;66,6;148,01
Android 10,0;Vsmart;3;8;6,53;69,51;150,6
Android 11;Google;8;8;6,0;63,86;138,37
